"created_at","modified_at","id","rise_bank_code","idirect_bank_name","bse_bank_name","bse_abbr"
"","",1,1,"ABHYUDAYA COOPERATIVE BANK LIMITED","ABHYUDAYA COOPERATIVE BANK LIMITED","ACB"
"","",2,2,"AIRTEL PAYMENTS BANK LIMITED","AIRTEL PAYMENTS BANK LIMITED","AIRP"
"","",3,3,"ANDHRA PRAGATHI GRAMEENA BANK","ANDHRA PRAGATHI GRAMEENA BANK","APG"
"","",4,4,"APNA SAHAKARI BANK LIMITED","APNA SAHAKARI BANK LIMITED","ASB"
"","",5,5,"AU SMALL FINANCE BANK LTD","AU SMALL FINANCE BANK LIMITED","AUB"
"","",6,6,"Axis Bank","AXIS BANK","UTI"
"","",7,6,"AXIS BANK","AXIS BANK","UTI"
"","",8,6,"Axis Bank for education programme","AXIS BANK","UTI"
"","",9,7,"BANDHAN BANK LIMITED","BANDHAN BANK LIMITED","BDN"
"","",10,8,"BANK OF BAHARAIN AND KUWAIT BSC","BANK OF BAHARAIN AND KUWAIT BSC","BBK"
"","",11,8,"Bank of Bahrain and Kuwait for education programme","BANK OF BAHARAIN AND KUWAIT BSC","BBK"
"","",12,9,"BANK OF BARODA                                    ","BANK OF BARODA","BBR"
"","",13,9,"Bank of Baroda","BANK OF BARODA","BBR"
"","",14,10,"Bank of India","BANK OF INDIA","BOI"
"","",15,10,"BANK OF INDIA","BANK OF INDIA","BOI"
"","",16,11,"Bank of Maharashtra","BANK OF MAHARASHTRA","BOM"
"","",17,11,"BANK OF MAHARASHTRA","BANK OF MAHARASHTRA","BOM"
"","",18,12,"BASSEIN CATHOLIC COOPERATIVE BANK LIMITED","BASSEIN CATHOLIC COOPERATIVE BANK LIMITED","BCB"
"","",19,13,"CANARA BANK","CANARA BANK","CNB"
"","",20,13,"Canara Bank","CANARA BANK","CNB"
"","",21,14,"CAPITAL LOCAL AREA BANK LIMITED","CAPITAL SMALL FINANCE BANK LIMITED","CPB"
"","",22,14,"CAPITAL SMALL FINANCE BANK LIMITED","CAPITAL SMALL FINANCE BANK LIMITED","CPB"
"","",23,15,"CENTRAL BANK OF INDIA","CENTRAL BANK OF INDIA","CBI"
"","",24,15,"Central Bank of India","CENTRAL BANK OF INDIA","CBI"
"","",25,16,"CITI BANK","CITI BANK","CIT"
"","",26,17,"City Union Bank","CITY UNION BANK LIMITED","CUB"
"","",27,17,"CITY UNION BANK LIMITED","CITY UNION BANK LIMITED","CUB"
"","",28,18,"Catholic Syrian Bank for education programme","CSB BANK LIMITED","CSBK"
"","",29,18,"CATHOLIC SYRIAN BANK LIMITED","CSB BANK LIMITED","CSBK"
"","",30,19,"DEVELOPMENT BANK OF SINGAPORE","DBS Bank India Limited","DBS"
"","",31,20,"DCB Bank for education programme","DCB BANK LIMITED","DCB"
"","",32,20,"DCB BANK LIMITED","DCB BANK LIMITED","DCB"
"","",33,20,"Development Credit Bank","DCB BANK LIMITED","DCB"
"","",34,21,"DEUSTCHE BANK","DEUSTCHE BANK","DBK"
"","",35,21,"Deutsche Bank","DEUSTCHE BANK","DBK"
"","",36,22,"DHANALAKSHMI BANK","DHANALAKSHMI BANK","DLB"
"","",37,22,"Dhanlaxmi Bank","DHANALAKSHMI BANK","DLB"
"","",38,23,"DOMBIVLI NAGARI SAHAKARI BANK LIMITED","DOMBIVLI NAGARI SAHAKARI BANK LIMITED","DNS"
"","",39,24,"EQUITAS SMALL FINANCE BANK LIMITED","EQUITAS SMALL FINANCE BANK LIMITED","EQB"
"","",40,25,"ESAF SMALL FINANCE BANK LIMITED","ESAF SMALL FINANCE BANK LIMITED","ESF"
"","",41,26,"FEDERAL BANK","FEDERAL BANK","FBK"
"","",42,26,"Federal Bank","FEDERAL BANK","FBK"
"","",43,27,"FINCARE SMALL FINANCE BANK LTD","FINCARE SMALL FINANCE BANK LTD","FNC"
"","",44,28,"G P PARSIK BANK","G P PARSIK BANK","PJS"
"","",45,29,"HDFC BANK","HDFC BANK","HDF"
"","",46,30,"HSBC BANK","HSBC BANK","HSB"
"","",47,31,"ICICI BANK LIMITED","ICICI BANK LIMITED","ICI"
"","",48,31,"ICICI Bank Ltd","ICICI BANK LIMITED","ICI"
"","",49,32,"IDBI Bank","IDBI BANK","IDB"
"","",50,32,"IDBI BANK","IDBI BANK","IDB"
"","",51,33,"IDFC FIRST","IDFC FIRST BANK LTD","IDN"
"","",52,34,"Indian Bank","INDIAN BANK","INB"
"","",53,34,"INDIAN BANK","INDIAN BANK","INB"
"","",54,35,"INDIAN OVERSEAS BANK","INDIAN OVERSEAS BANK","IOB"
"","",55,35,"Indian Overseas Bank","INDIAN OVERSEAS BANK","IOB"
"","",56,36,"Indusind Bank","INDUSIND BANK","IDS"
"","",57,36,"INDUSIND BANK","INDUSIND BANK","IDS"
"","",58,36,"indusland Bank","INDUSIND BANK","IDS"
"","",59,37,"JALGAON JANATA SAHAKARI BANK LIMITED","JALGAON JANATA SAHAKARI BANK LIMITED","JJS"
"","",60,38,"J AND K Bank","JAMMU AND KASHMIR BANK LIMITED","JKB"
"","",61,38,"JAMMU AND KASHMIR BANK LIMITED","JAMMU AND KASHMIR BANK LIMITED","JKB"
"","",62,39,"JANA SMALL FINANCE BANK LTD","JANA SMALL FINANCE BANK LTD","JNB"
"","",63,40,"JANATA SAHAKARI BANK LIMITED","JANATA SAHAKARI BANK LIMITED","JSB"
"","",64,41,"KALUPUR COMMERCIAL COOPERATIVE BANK","KALUPUR COMMERCIAL COOPERATIVE BANK","KLB"
"","",65,42,"KALYAN JANATA SAHAKARI BANK","KALYAN JANATA SAHAKARI BANK","KJS"
"","",66,43,"Karnataka Bank","KARNATAKA BANK LIMITED","KBL"
"","",67,43,"KARNATAKA BANK LIMITED","KARNATAKA BANK LIMITED","KBL"
"","",68,44,"KARNATAKA GRAMIN BANK","KARNATAKA VIKAS GRAMEENA BANK","KVG"
"","",69,44,"KARNATAKA VIKAS GRAMEENA BANK","KARNATAKA VIKAS GRAMEENA BANK","KVG"
"","",70,45,"Karur Vysya Bank","KARUR VYSYA BANK","KVB"
"","",71,45,"KARUR VYSYA BANK","KARUR VYSYA BANK","KVB"
"","",72,46,"KERALA GRAMIN BANK","KERALA GRAMIN BANK","KLG"
"","",73,47,"Kotak Mahindra Bank","KOTAK MAHINDRA BANK LIMITED","162"
"","",74,47,"KOTAK MAHINDRA BANK LIMITED","KOTAK MAHINDRA BANK LIMITED","162"
"","",75,48,"Maharashtra Gramin Bank","Maharashtra Gramin Bank","MGB"
"","",76,49,"NKGSB COOPERATIVE BANK LIMITED","NKGSB COOPERATIVE BANK LIMITED","NKB"
