"created_at";"modified_at";"id";"reason";"action";"flow_status_key"
"";"";1;"PAN--->PAN - Image not clear";"Please re-upload the clear copy of Pan image";"PAN_DOC_UPDATED"
"";"";2;"PAN--->PAN - Uploaded of another person";"Please re-upload Your Pan card copy";"PAN_DOC_UPDATED"
"";"";3;"PAN--->PAN - Incorrect image uploaded in PAN slot";"Please re-upload Your Pan card copy";"PAN_DOC_UPDATED"
"";"";4;"PAN--->PAN - ePAN is not acceptable";"Please re-upload original copy of Pancard";"PAN_DOC_UPDATED"
"";"";5;"SIGNATURE--->Signature - Mismatch with PAN card";"Please correct your signature as per Pancard";"SIGNATURE_DOC_UPDATED"
"";"";6;"SIGNATURE--->Signature - Incorrect image uploaded in signature slot";"Please re-upload your signature correcly";"SIGNATURE_DOC_UPDATED"
"";"";7;"SIGNATURE--->Signature - Image not clear";"Please re- upload your signatue correctly";"SIGNATURE_DOC_UPDATED"
"";"";8;"CHEQUE--->Bank Proof - Incorrect image is uploaded in cheque slot";"Please re-upload Bank Proof correctly for the registered Bank account";"BANK_PROOF_DOC_UPDATED"
"";"";9;"CHEQUE--->Bank Proof - Cheque / Bank Statement or Passbook image not clear";"Please re-upload Bank Proof correctly for the registered Bank account";"BANK_PROOF_DOC_UPDATED"
"";"";10;"BANK--->Bank account details mismatch with Bank records";"Please Update your bank account details correctly (Name/IFSC/Bank account Number ) or upload correct Bank Proof";"BANK_DETAIL_UPDATED"
"";"";11;"IPVPHOTO--->Photo - Incorrect Photo captured";"Please recapture your Photo";"SELFIE_DOC_UPDATED"
"";"";12;"IPVPHOTO--->Photo - Uploaded is not a Live Photo";"Please recapture your Live Photo";"SELFIE_DOC_UPDATED"
"";"";13;"IPVPHOTO--->Photo - Image not clear";"Please recapture your Live Photo";"SELFIE_DOC_UPDATED"
"";"";14;"IPVPHOTO--->Photo - Image not in proper attire";"Please recapture your Live Photo with proper attire";"SELFIE_DOC_UPDATED"
"";"";15;"IPVPHOTO--->Photo - Eyes are not visible in live image";"Please recapture your Live Photo";"SELFIE_DOC_UPDATED"
"";"";16;"ESIGN--->eSign not done";"Kindly re-sign your trading account form";"ESIGN_UPDATED"
"";"";17;"ESIGN--->eSign not of account holder";"Please use your aadhar number for doing e-sign";"ESIGN_UPDATED"
"";"";18;"DATA RELATED--->Date of Birth incorrect";"Please enter the correct DOB as per Pan and Aadhar";"PAN_DOB_UPDATED"
"";"";19;"EMAIL ID RELATION--->Email relation is already updated in other account";"Please update the some another email id .";"EMAIL_CONFIRMED"
"";"";20;"CHEQUE--->Cancelled and Signed Cheque not uploaded";"Please reupload the cancelled cheque copy";"BANK_PROOF_DOC_UPDATED"
"";"";21;"BANK--->Bank account NAME mismatch with bank proof uploaded";"Please re- upload the correct Bank proof with correct Bank Name";"BANK_PROOF_DOC_UPDATED"
"";"";22;"BANK--->Bank account NUMBER mismatch with bank proof uploaded";"Please re- upload the correct Bank proof with correct Bank account number";"BANK_PROOF_DOC_UPDATED"
"";"";23;"BANK--->Bank IFSC code mismatch with bank proof uploaded";"Please re- upload the correct Bank proof with correct IFSC Code";"BANK_PROOF_DOC_UPDATED"
"";"";24;"BANK--->Bank Penny Name Mismatch with KYC Name";"Please re-enter your Bank details correctly with proper name and it should be matched with the name entered as per app.";"BANK_DETAIL_UPDATED"
