name,abbr
ABHYUDAYA COOPERATIVE BANK LIMITED,ACB
AIRTEL PAYMENTS BANK LIMITED,AIRP
ANDHRA PRAGATHI GRAMEENA BANK,APG
APNA SAHAKARI BANK LIMITED,ASB
AU SMALL FINANCE BANK LIMITED,AUB
AXIS BANK,UTI
BANDHAN BANK LIMITED,BDN
BANK OF BAHARAIN AND KUWAIT BSC,BBK
BANK OF BARODA,BBR
BANK OF INDIA,BOI
BANK OF MAHARASHTRA,BOM
BASSEIN CATHOLIC COOPERATIVE BANK LIMITED,BCB
CANARA BANK,CNB
CAPITAL SMALL FINANCE BANK LIMITED,CPB
CENTRAL BANK OF INDIA,CBI
CITI BANK,CIT
CITY UNION BANK LIMITED,CUB
CSB BANK LIMITED,CSBK
DBS Bank India Limited,DBS
DCB BANK LIMITED,DCB
DEUSTCHE BANK,DBK
DHANALAKSHMI BANK,DLB
DOMBIVLI NAGARI SAHAKARI BANK LIMITED,DNS
EQUITAS SMALL FINANCE BANK LIMITED,EQB
ESAF SMALL FINANCE BANK LIMITED,ESF
FEDERAL BANK,FBK
FINCARE SMALL FINANCE BANK LTD,FNC
G P PARSIK BANK,PJS
HDFC BANK,HDF
HSBC BANK,HSB
ICICI BANK LIMITED,ICI
IDBI BANK,IDB
IDFC FIRST BANK LTD,IDN
INDIAN BANK,INB
INDIAN OVERSEAS BANK,IOB
INDUSIND BANK,IDS
JALGAON JANATA SAHAKARI BANK LIMITED,JJS
JAMMU AND KASHMIR BANK LIMITED,JKB
JANA SMALL FINANCE BANK LTD,JNB
JANATA SAHAKARI BANK LIMITED,JSB
KALUPUR COMMERCIAL COOPERATIVE BANK,KLB
KALYAN JANATA SAHAKARI BANK,KJS
KARNATAKA BANK LIMITED,KBL
KARNATAKA VIKAS GRAMEENA BANK,KVG
KARUR VYSYA BANK,KVB
KERALA GRAMIN BANK,KLG
KOTAK MAHINDRA BANK LIMITED,162
Maharashtra Gramin Bank,MGB
NKGSB COOPERATIVE BANK LIMITED,NKB
PAYTM PAYMENTS BANK LTD,PYTM
PUNJAB AND SIND BANK,PSB
PUNJAB NATIONAL BANK,PNB
RAJKOT NAGRIK SAHAKARI BANK LIMITED,RNS
RBL Bank Limited,RTN
SARASWAT COOPERATIVE BANK LIMITED,SWB
SBM BANK INDIA LIMITED,SOM
SOUTH INDIAN BANK,SIB
STANDARD CHARTERED BANK,SCB
STATE BANK OF INDIA,SBI
SURYODAY SMALL FINANCE BANK LIMITED,SRB
SUTEX COOPERATIVE BANK LIMITED,SUT
TAMILNAD MERCANTILE BANK LIMITED,TMB
THE COSMOS CO OPERATIVE BANK LIMITED,COB
THE GUJARAT STATE COOPERATIVE BANK LIMITED,GSB
THE MEHSANA URBAN COOPERATIVE BANK,MSN
THE NAINITAL BANK LIMITED,NTB
THE SHAMRAO VITHAL COOPERATIVE BANK,SVC
THE SURAT PEOPLES COOPERATIVE BANK LIMITED,SPC
THE TAMIL NADU STATE APEX COOPERATIVE BANK,TNC
THE THANE BHARAT SAHAKARI BANK LIMITED,TBB
THE VARACHHA COOPERATIVE BANK LIMITED,VRB
THE VISHWESHWAR SAHAKARI BANK LIMITED,VSB
THE ZOROASTRIAN COOPERATIVE BANK LIMITED,ZOB
TJSB SAHAKARI BANK LTD,TJB
UCO BANK,UCO
Ujjivan Small Finance Bank Limited,UJV
UNION BANK OF INDIA,UBI
UTKARSH SMALL FINANCE BANK,UTK
VASAI VIKAS SAHAKARI BANK LIMITED,VVS
YES BANK,YBK
ANDHRA PRADESH GRAMEENA VIKAS BANK,APGX
FINO PAYMENTS BANK,FINO
JIO PAYMENTS BANK LIMITED,JIOP
KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BANK LIMITED,KAI
NORTH EAST SMALL FINANCE BANK LIMITED,NEB
SURAT NATIONAL COOPERATIVE BANK LIMITED,SUR
TELANGANA STATE COOP APEX BANK,TSA
THE HASTI COOP BANK LTD,HCB
