"created_at";"modified_at";"id";"city";"city_desc";"state";"state_desc";"state_kra_code";"ucc_state_code";"idirect_state_code";"bse_code"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1;"MAHENDERGARH";"MAHENDERGARH";"HARYANA";"HARYANA";"6";"10";"HARYANA";"HA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";2;"DIMAPUR";"DIMAPUR";"NAGALAND";"NAGALAND";"18";"21";"NAGALAND";"NA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";3;"GHUZA";"GHUZA";"JAMMU AND KASHMIR";"JAMMU AND KASHMIR";"1";"12";"JAMMU AND KASHMIR";"JM"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";4;"BOLANGIR";"BOLANGIR";"ODISHA";"ODISHA";"21";"23";"ODISHA";"OR"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";5;"SANT KABEER NAGAR";"SANT KABEER NAGAR";"UTTAR PRADESH";"UTTAR PRADESH";"9";"31";"UTTAR PRADESH";"UP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";6;"KALAKADA";"KALAKADA";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";7;"CURTORIM";"CURTORIM";"GOA";"GOA";"30";"8";"GOA";"GO"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";8;"KASHIPUR";"KASHIPUR";"UTTARAKHAND";"UTTARAKHAND";"5";"32";"UTTARAKHAND";"UC"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";9;"KOSUT";"KOSUT";"BIHAR";"BIHAR";"10";"5";"BIHAR";"BH"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";10;"BELAPUR";"BELAPUR";"MAHARASHTRA";"MAHARASHTRA";"27";"17";"MAHARASHTRA";"MA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";11;"DUNDIGAL";"DUNDIGAL";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";12;"KAITHAL";"KAITHAL";"HARYANA";"HARYANA";"6";"10";"HARYANA";"HA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";13;"AMAIPAKKAM";"AMAIPAKKAM";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";14;"GONDIA";"GONDIA";"MAHARASHTRA";"MAHARASHTRA";"27";"17";"MAHARASHTRA";"MA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";15;"MAINPURI";"MAINPURI";"UTTAR PRADESH";"UTTAR PRADESH";"9";"31";"UTTAR PRADESH";"UP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";16;"KARWAR";"KARWAR";"KARNATAKA";"KARNATAKA";"29";"14";"KARNATAKA";"KA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";17;"JYOTHINAGAR";"JYOTHINAGAR";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";18;"DAIPUR";"DAIPUR";"RAJASTHAN";"RAJASTHAN";"8";"26";"RAJASTHAN";"RA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";19;"JHALAWAR";"JHALAWAR";"RAJASTHAN";"RAJASTHAN";"8";"26";"RAJASTHAN";"RA"
