"ICM_CITY_CD","ICM_CITY_DESC","ISM_STATE_CD","ISM_STATE_DESC"
"MAHENDERGARH","MAHENDERGARH","HARYANA","HARYANA"
"DIMAPUR","DIMAPUR","NAGALAND","NAGALAND"
"GHUZA","GHUZA","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"BOLANGIR","BOLANGIR","ODISHA","ODISHA"
"SANT KABEER NAGAR","SANT KABEER NAGAR","UTTAR PRADESH","UTTAR PRADESH"
"KALAKADA","KALAKADA","ANDHRA PRADESH","ANDHRA PRADESH"
"CURTORIM","CURTORIM","GOA","GOA"
"KASHIPUR","KASHIPUR","UTTARAKHAND","UTTARAKHAND"
"KOSUT","KOSUT","BIHAR","BIHAR"
"BELAPUR","BELAPUR","MAHARASHTRA","MAHARASHTRA"
"DUNDIGAL","DUNDIGAL","ANDHRA PRADESH","ANDHRA PRADESH"
"KAITHAL","KAITHAL","HARYANA","HARYANA"
"AMAIPAKKAM","AMAIPAKKAM","TAMILNADU","TAMILNADU"
"GONDIA","GONDIA","MAHARASHTRA","MAHARASHTRA"
"MAINPURI","MAINPURI","UTTAR PRADESH","UTTAR PRADESH"
"KARWAR","KARWAR","KARNATAKA","KARNATAKA"
"JYOTHINAGAR","JYOTHINAGAR","ANDHRA PRADESH","ANDHRA PRADESH"
"DAIPUR","DAIPUR","RAJASTHAN","RAJASTHAN"
"JHALAWAR","JHALAWAR","RAJASTHAN","RAJASTHAN"
"NORTH SIKKIM","NORTH SIKKIM","SIKKIM","SIKKIM"
"MOGALTUR","MOGALTUR","ANDHRA PRADESH","ANDHRA PRADESH"
"UDHAM SINGH NAGAR","UDHAM SINGH NAGAR","UTTARAKHAND","UTTARAKHAND"
"EAST GODAVARI","EAST GODAVARI","ANDHRA PRADESH","ANDHRA PRADESH"
"GAUTAM BUDDHA NAGAR","GAUTAM BUDDHA NAGAR","UTTAR PRADESH","UTTAR PRADESH"
"BALIKUDA","BALIKUDA","ODISHA","ODISHA"
"CONTAI","CONTAI","WEST BENGAL","WEST BENGAL"
"AURAI","AURAI","UTTAR PRADESH","UTTAR PRADESH"
"KANKROLI","KANKROLI","RAJASTHAN","RAJASTHAN"
"KOPPA","KOPPA","KARNATAKA","KARNATAKA"
"KOTHAPETA","KOTHAPETA","ANDHRA PRADESH","ANDHRA PRADESH"
"KRISHNANAGAR","KRISHNANAGAR","WEST BENGAL","WEST BENGAL"
"SRIRANGAPATNA","SRIRANGAPATNA","KARNATAKA","KARNATAKA"
"MINICOY","MINICOY","LAKSHADWEEP","LAKSHADWEEP"
"MARWAR","MARWAR","RAJASTHAN","RAJASTHAN"
"BIJURI","BIJURI","MADHYA PRADESH","MADHYA PRADESH"
"RAMDURG","RAMDURG","KARNATAKA","KARNATAKA"
"NALAGARH_HIM","NALAGARH","HIMACHAL PRADESH","HIMACHAL PRADESH"
"RUDRAPUR","RUDRAPUR","UTTARAKHAND","UTTARAKHAND"
