"IDPM_PIN_CD","IDPM_DISTRICT","IDPM_COUNTRY_CD","IDPM_STATE_CD"
"495102","CHANDEL","INDIA","MANIPUR"
"585265","KALABURAGI","INDIA","KARNATAKA"
"585287","YADGIR","INDIA","KARNATAKA"
"585290","YADGIR","INDIA","KARNATAKA"
"585291","YADGIR","INDIA","KARNATAKA"
"585292","KALABURAGI","INDIA","KARNATAKA"
"585302","KALABURAGI","INDIA","KARNATAKA"
"585303","KALABURAGI","INDIA","KARNATAKA"
"585304","YADGIR","INDIA","KARNATAKA"
"585305","KALABURAGI","INDIA","KARNATAKA"
"585306","KALABURAGI","INDIA","KARNATAKA"
"441912","BHANDARA","INDIA","MAHARASHTRA"
"441913","BHANDARA","INDIA","MAHARASHTRA"
"441914","BHANDARA","INDIA","MAHARASHTRA"
"441915","BHANDARA","INDIA","MAHARASHTRA"
"441916","GONDIA","INDIA","MAHARASHTRA"
"441924","BHANDARA","INDIA","MAHARASHTRA"
"441205","CHANDRAPUR","INDIA","MAHARASHTRA"
"441206","CHANDRAPUR","INDIA","MAHARASHTRA"
"441207","GADCHIROLI","INDIA","MAHARASHTRA"
"441208","GADCHIROLI","INDIA","MAHARASHTRA"
"441209","GADCHIROLI","INDIA","MAHARASHTRA"
"441210","NAGPUR","INDIA","MAHARASHTRA"
"441212","CHANDRAPUR","INDIA","MAHARASHTRA"
"441214","NAGPUR","INDIA","MAHARASHTRA"
"441215","CHANDRAPUR","INDIA","MAHARASHTRA"
"583219","BELLARY","INDIA","KARNATAKA"
"583220","BELLARY","INDIA","KARNATAKA"
"583221","BELLARY","INDIA","KARNATAKA"
"583222","BELLARY","INDIA","KARNATAKA"
"583223","BELLARY","INDIA","KARNATAKA"
"583224","BELLARY","INDIA","KARNATAKA"
"583225","BELLARY","INDIA","KARNATAKA"
"583226","KOPPAL","INDIA","KARNATAKA"
"583227","KOPPAL","INDIA","KARNATAKA"
"583228","KOPPAL","INDIA","KARNATAKA"
"583229","KOPPAL","INDIA","KARNATAKA"
"583230","KOPPAL","INDIA","KARNATAKA"
"583232","KOPPAL","INDIA","KARNATAKA"
"583233","KOPPAL","INDIA","KARNATAKA"
"583234","KOPPAL","INDIA","KARNATAKA"
"583235","KOPPAL","INDIA","KARNATAKA"
"583236","KOPPAL","INDIA","KARNATAKA"
"583237","KOPPAL","INDIA","KARNATAKA"
"583238","KOPPAL","INDIA","KARNATAKA"
"583239","BELLARY","INDIA","KARNATAKA"
"583268","KOPPAL","INDIA","KARNATAKA"
"583276","BELLARY","INDIA","KARNATAKA"
"583277","KOPPAL","INDIA","KARNATAKA"
"583278","KOPPAL","INDIA","KARNATAKA"
"583279","KOPPAL","INDIA","KARNATAKA"
"583280","KOPPAL","INDIA","KARNATAKA"
"583281","KOPPAL","INDIA","KARNATAKA"
"583282","KOPPAL","INDIA","KARNATAKA"
"583283","KOPPAL","INDIA","KARNATAKA"
"583284","KOPPAL","INDIA","KARNATAKA"
"583287","KOPPAL","INDIA","KARNATAKA"
"584102","RAICHUR","INDIA","KARNATAKA"
"797006","KOHIMA","INDIA","NAGALAND"
"797099","WOKHA","INDIA","NAGALAND"
"797101","PEREN","INDIA","NAGALAND"
"797103","DIMAPUR","INDIA","NAGALAND"
"797104","PHEK","INDIA","NAGALAND"
"797105","KOHIMA","INDIA","NAGALAND"
"797106","DIMAPUR","INDIA","NAGALAND"
"797108","PHEK","INDIA","NAGALAND"
"797109","KOHIMA","INDIA","NAGALAND"
"797110","PEREN","INDIA","NAGALAND"
"797111","WOKHA","INDIA","NAGALAND"
"797113","DIMAPUR","INDIA","NAGALAND"
"797114","PHEK","INDIA","NAGALAND"
"797115","DIMAPUR","INDIA","NAGALAND"
"797116","DIMAPUR","INDIA","NAGALAND"
"797117","DIMAPUR","INDIA","NAGALAND"
"587117","BAGALKOT","INDIA","KARNATAKA"
"587118","BAGALKOT","INDIA","KARNATAKA"
"587119","BAGALKOT","INDIA","KARNATAKA"
"587120","BAGALKOT","INDIA","KARNATAKA"
"587121","BAGALKOT","INDIA","KARNATAKA"
"587122","BAGALKOT","INDIA","KARNATAKA"
"587124","BAGALKOT","INDIA","KARNATAKA"
"587154","BAGALKOT","INDIA","KARNATAKA"
"587155","BAGALKOT","INDIA","KARNATAKA"
"587156","BAGALKOT","INDIA","KARNATAKA"
"742150","MURSHIDABAD","INDIA","WEST BENGAL"
"441217","GADCHIROLI","INDIA","MAHARASHTRA"
"441221","CHANDRAPUR","INDIA","MAHARASHTRA"
"441222","CHANDRAPUR","INDIA","MAHARASHTRA"
"441223","CHANDRAPUR","INDIA","MAHARASHTRA"
"641017","COIMBATORE","INDIA","TAMIL NADU"
"641019","COIMBATORE","INDIA","TAMIL NADU"
"475671","DATIA","INDIA","MADHYA PRADESH"
"458228","NEEMUCH","INDIA","MADHYA PRADESH"
"458470","NEEMUCH","INDIA","MADHYA PRADESH"
"458669","MANDSAUR","INDIA","MADHYA PRADESH"
"458888","MANDSAUR","INDIA","MADHYA PRADESH"
"460110","BETUL","INDIA","MADHYA PRADESH"
"460447","BETUL","INDIA","MADHYA PRADESH"
"460663","BETUL","INDIA","MADHYA PRADESH"
"842113","SAMASTIPUR","INDIA","BIHAR"
"843135","MUZAFFARPUR","INDIA","BIHAR"
"843162","MUZAFFARPUR","INDIA","BIHAR"
"820110","KAIMUR (BHABUA)","INDIA","BIHAR"
"821424","AURANGABAD","INDIA","BIHAR"
"822412","AURANGABAD","INDIA","BIHAR"
"824204","GAYA","INDIA","BIHAR"
"534432","WEST GODAVARI","INDIA","ANDHRA PRADESH"
"307022","SIROHI","INDIA","RAJASTHAN"
"307027","SIROHI","INDIA","RAJASTHAN"
"307032","SIROHI","INDIA","RAJASTHAN"
"307512","SIROHI","INDIA","RAJASTHAN"
"307802","SIROHI","INDIA","RAJASTHAN"
"476001","MORENA","INDIA","MADHYA PRADESH"
"476224","MORENA","INDIA","MADHYA PRADESH"
"854321","ARARIA","INDIA","BIHAR"
"855455","PASHCHIM CHAMPARAN","INDIA","BIHAR"
"801213","ROHTAS","INDIA","BIHAR"
"802317","BHOJPUR","INDIA","BIHAR"
"848237","SAMASTIPUR","INDIA","BIHAR"
"303310","DAUSA","INDIA","RAJASTHAN"
"305416","AJMER","INDIA","RAJASTHAN"
"331002","CHURU","INDIA","RAJASTHAN"
"333310","JHUNJHUNUN","INDIA","RAJASTHAN"
"481883","DINDORI","INDIA","MADHYA PRADESH"
"481998","MANDLA","INDIA","MADHYA PRADESH"
"482010","JABALPUR","INDIA","MADHYA PRADESH"
"483001","JABALPUR","INDIA","MADHYA PRADESH"
"131027","SONIPAT","INDIA","HARYANA"
"131101","SONIPAT","INDIA","HARYANA"
"131305","SONIPAT","INDIA","HARYANA"
"311024","BHILWARA","INDIA","RAJASTHAN"
"311202","BHILWARA","INDIA","RAJASTHAN"
"311401","BHILWARA","INDIA","RAJASTHAN"
"311601","BHILWARA","INDIA","RAJASTHAN"
"182301","REASI","INDIA","JAMMU AND KASHMIR"
"184101","KATHUA","INDIA","JAMMU AND KASHMIR"
"184143","KATHUA","INDIA","JAMMU AND KASHMIR"
"184201","KATHUA","INDIA","JAMMU AND KASHMIR"
"313901","UDAIPUR","INDIA","RAJASTHAN"
"313906","UDAIPUR","INDIA","RAJASTHAN"
"314024","DUNGARPUR","INDIA","RAJASTHAN"
"314030","DUNGARPUR","INDIA","RAJASTHAN"
"314037","DUNGARPUR","INDIA","RAJASTHAN"
"314404","DUNGARPUR","INDIA","RAJASTHAN"
"321022","BHARATPUR","INDIA","RAJASTHAN"
"321028","BHARATPUR","INDIA","RAJASTHAN"
"321205","BHARATPUR","INDIA","RAJASTHAN"
"859325","ARARIA","INDIA","BIHAR"
"847313","DARBHANGA","INDIA","BIHAR"
"847425","MADHUBANI","INDIA","BIHAR"
"591239","BELAGAVI","INDIA","KARNATAKA"
"591240","BELAGAVI","INDIA","KARNATAKA"
"591241","BELAGAVI","INDIA","KARNATAKA"
"591242","BELAGAVI","INDIA","KARNATAKA"
"591243","BELAGAVI","INDIA","KARNATAKA"
"713172","BARDHAMAN","INDIA","WEST BENGAL"
"713173","BARDHAMAN","INDIA","WEST BENGAL"
"713219","BARDHAMAN","INDIA","WEST BENGAL"
"713310","BARDDHAMAN","INDIA","WEST BENGAL"
"732143","MALDA","INDIA","WEST BENGAL"
"732147","MALDA","INDIA","WEST BENGAL"
"743506","HAORA","INDIA","WEST BENGAL"
"743507","SOUTH TWENTY FOUR PARGANAS","INDIA","WEST BENGAL"
"743510","NORTH TWENTY FOUR PARGANAS","INDIA","WEST BENGAL"
"743601","SOUTH 24 PARGANAS","INDIA","WEST BENGAL"
"743603","SOUTH TWENTY FOUR PARGANAS","INDIA","WEST BENGAL"
"743606","SOUTH TWENTY FOUR PARGANAS","INDIA","WEST BENGAL"
"743700","NORTH TWENTY FOUR PARGANAS","INDIA","WEST BENGAL"
"743744","NORTH TWENTY FOUR PARGANAS","INDIA","WEST BENGAL"
"744019","SOUTH ANDAMAN","INDIA","ANDAMAN & NICOBAR"
"744110","SOUTH ANDAMAN","INDIA","ANDAMAN & NICOBAR"
"744111","SOUTH ANDAMAN","INDIA","ANDAMAN & NICOBAR"
"744208","NORTH & MIDDLE ANDAMAN","INDIA","ANDAMAN & NICOBAR"
"713364","BARDDHAMAN","INDIA","WEST BENGAL"
"713367","BARDDHAMAN","INDIA","WEST BENGAL"
"713368","BARDHAMAN","INDIA","WEST BENGAL"
"713374","BARDDHAMAN","INDIA","WEST BENGAL"
"713375","BARDHAMAN","INDIA","WEST BENGAL"
"713377","BARDHAMAN","INDIA","WEST BENGAL"
"713380","BARDHAMAN","INDIA","WEST BENGAL"
"713383","BARDHAMAN","INDIA","WEST BENGAL"
"713402","PURBA BARDHAMAN","INDIA","WEST BENGAL"
"713419","BARDHAMAN","INDIA","WEST BENGAL"
"711328","HOWRAH","INDIA","WEST BENGAL"
"442003","WARDHA","INDIA","MAHARASHTRA"
"442101","WARDHA","INDIA","MAHARASHTRA"
"442102","WARDHA","INDIA","MAHARASHTRA"
"442104","WARDHA","INDIA","MAHARASHTRA"
"442105","WARDHA","INDIA","MAHARASHTRA"
"442106","WARDHA","INDIA","MAHARASHTRA"
"442107","WARDHA","INDIA","MAHARASHTRA"
"442111","WARDHA","INDIA","MAHARASHTRA"
"442201","WARDHA","INDIA","MAHARASHTRA"
"442202","WARDHA","INDIA","MAHARASHTRA"
"110013","SOUTH DELHI","INDIA","DELHI"
"110014","SOUTH DELHI","INDIA","DELHI"
"110023","NEW DELHI","INDIA","DELHI"
"110030","SOUTH DELHI","INDIA","DELHI"
"110031","EAST DELHI","INDIA","DELHI"
"110032","SHAHDARA","INDIA","DELHI"
"110036","NORTH DELHI","INDIA","DELHI"
"110037","NEW DELHI","INDIA","DELHI"
"110038","NEW DELHI","INDIA","DELHI"
"110039","NORTH DELHI","INDIA","DELHI"
"110041","WEST DELHI","INDIA","DELHI"
"110042","NORTH WEST DELHI","INDIA","DELHI"
"110043","SOUTHWEST DELHI","INDIA","DELHI"
"110045","SOUTH WEST DELHI","INDIA","DELHI"
"110046","NEW DELHI","INDIA","DELHI"
"110047","SOUTH DELHI","INDIA","DELHI"
"110049","SOUTH DELHI","INDIA","DELHI"
"110051","SHAHDARA","INDIA","DELHI"
"110053","NORTH EAST DELHI","INDIA","DELHI"
"110055","CENTRAL DELHI","INDIA","DELHI"
"110056","NORTH WEST DELHI","INDIA","DELHI"
"110059","WEST DELHI","INDIA","DELHI"
"110061","SOUTH WEST DELHI","INDIA","DELHI"
"110062","SOUTH DELHI","INDIA","DELHI"
"110064","WEST DELHI","INDIA","DELHI"
"110065","SOUTH DELHI","INDIA","DELHI"
"110067","NEW DELHI","INDIA","DELHI"
"110068","SOUTH DELHI","INDIA","DELHI"
"110069","NEW DELHI","INDIA","DELHI"
"110071","SOUTH WEST DELHI","INDIA","DELHI"
"110072","SOUTH WEST DELHI","INDIA","DELHI"
"110073","SOUTH WEST DELHI","INDIA","DELHI"
"110074","SOUTH DELHI","INDIA","DELHI"
"444801","AMRAVATI","INDIA","MAHARASHTRA"
"444802","AMRAVATI","INDIA","MAHARASHTRA"
"444803","AMRAVATI","INDIA","MAHARASHTRA"
"444804","AMRAVATI","INDIA","MAHARASHTRA"
"444805","AMRAVATI","INDIA","MAHARASHTRA"
"444806","AMRAVATI","INDIA","MAHARASHTRA"
"444807","AMRAVATI","INDIA","MAHARASHTRA"
"444808","AMRAVATI","INDIA","MAHARASHTRA"
"441224","CHANDRAPUR","INDIA","MAHARASHTRA"
"441225","CHANDRAPUR","INDIA","MAHARASHTRA"
"441226","CHANDRAPUR","INDIA","MAHARASHTRA"
"441228","CHANDRAPUR","INDIA","MAHARASHTRA"
"441301","NAGPUR","INDIA","MAHARASHTRA"
"441302","NAGPUR","INDIA","MAHARASHTRA"
"441303","NAGPUR","INDIA","MAHARASHTRA"
"441304","NAGPUR","INDIA","MAHARASHTRA"
"441305","NAGPUR","INDIA","MAHARASHTRA"
"441306","NAGPUR","INDIA","MAHARASHTRA"
"441401","NAGPUR","INDIA","MAHARASHTRA"
"441404","NAGPUR","INDIA","MAHARASHTRA"
"441501","NAGPUR","INDIA","MAHARASHTRA"
"441502","NAGPUR","INDIA","MAHARASHTRA"
"441614","GONDIA","INDIA","MAHARASHTRA"
"441701","GONDIA","INDIA","MAHARASHTRA"
"441702","GONDIA","INDIA","MAHARASHTRA"
"441801","GONDIA","INDIA","MAHARASHTRA"
"441802","BHANDARA","INDIA","MAHARASHTRA"
"584103","RAICHUR","INDIA","KARNATAKA"
"584104","RAICHUR","INDIA","KARNATAKA"
"584111","RAICHUR","INDIA","KARNATAKA"
"584113","RAICHUR","INDIA","KARNATAKA"
"584115","RAICHUR","INDIA","KARNATAKA"
"584116","RAICHUR","INDIA","KARNATAKA"
"584118","RAICHUR","INDIA","KARNATAKA"
"584120","RAICHUR","INDIA","KARNATAKA"
"584122","RAICHUR","INDIA","KARNATAKA"
"584123","RAICHUR","INDIA","KARNATAKA"
"797118","DIMAPUR","INDIA","NAGALAND"
"797120","KOHIMA","INDIA","NAGALAND"
"797121","KOHIMA","INDIA","NAGALAND"
"798601","MOKOKCHUNG","INDIA","NAGALAND"
"798602","MON","INDIA","NAGALAND"
"798603","MON","INDIA","NAGALAND"
"798604","MOKOKCHUNG","INDIA","NAGALAND"
"798607","MOKOKCHUNG","INDIA","NAGALAND"
"798611","KIPHIRE","INDIA","NAGALAND"
"798612","TUENSANG","INDIA","NAGALAND"
"798613","MOKOKCHUNG","INDIA","NAGALAND"
"798614","MOKOKCHUNG","INDIA","NAGALAND"
"798615","MOKOKCHUNG","INDIA","NAGALAND"
"798616","TUENSANG","INDIA","NAGALAND"
"798618","MOKOKCHUNG","INDIA","NAGALAND"
"798619","ZUNHEBOTTO","INDIA","NAGALAND"
"798620","ZUNHEBOTTO","INDIA","NAGALAND"
"798621","MON","INDIA","NAGALAND"
"798622","MON","INDIA","NAGALAND"
"798623","MOKOKCHUNG","INDIA","NAGALAND"
"798625","LONGLENG","INDIA","NAGALAND"
"798627","ZUNHEBOTTO","INDIA","NAGALAND"
"110079","WEST","INDIA","DELHI"
"110050","SOUTH DELHI","INDIA","DELHI"
"802318","BHOJPUR","INDIA","BIHAR"
"587201","BAGALKOT","INDIA","KARNATAKA"
"587202","BAGALKOT","INDIA","KARNATAKA"
"587203","BAGALKOT","INDIA","KARNATAKA"
"587204","BAGALKOT","INDIA","KARNATAKA"
"587205","BAGALKOT","INDIA","KARNATAKA"
"587206","BAGALKOT","INDIA","KARNATAKA"
