"created_at","modified_at","id","pincode","district","country","idirect_state","cersai_state"
"","",1,"504100","ADILABAD","INDIA","TELANGANA","TS"
"","",2,"504305","ADILABAD","INDIA","TELANGANA","TS"
"","",3,"504328","ADILABAD","INDIA","TELANGANA","TS"
"","",4,"504926","ADILABAD","INDIA","TELANGANA","TS"
"","",5,"504271","ADILABAD","INDIA","TELANGANA","TS"
"","",6,"504304","ADILABAD","INDIA","TELANGANA","TS"
"","",7,"504307","ADILABAD","INDIA","TELANGANA","TS"
"","",8,"504308","ADILABAD","INDIA","TELANGANA","TS"
"","",9,"504309","ADILABAD","INDIA","TELANGANA","TS"
"","",10,"504311","ADILABAD","INDIA","TELANGANA","TS"
"","",11,"504312","ADILABAD","INDIA","TELANGANA","TS"
"","",12,"504323","ADILABAD","INDIA","TELANGANA","TS"
"","",13,"504002","ADILABAD","INDIA","TELANGANA","TS"
"","",14,"504001","ADILABAD","INDIA","TELANGANA","TS"
"","",15,"465230","AGAR MALWA","INDIA","MADHYA PRADESH","MP"
"","",16,"465441","AGAR MALWA","INDIA","MADHYA PRADESH","MP"
"","",17,"465445","AGAR MALWA","INDIA","MADHYA PRADESH","MP"
"","",18,"465447","AGAR MALWA","INDIA","MADHYA PRADESH","MP"
"","",19,"465449","AGAR MALWA","INDIA","MADHYA PRADESH","MP"
"","",20,"465550","AGAR MALWA","INDIA","MADHYA PRADESH","MP"
"","",21,"262004","AGRA","INDIA","UTTAR PRADESH","UP"
"","",22,"282152","AGRA","INDIA","UTTAR PRADESH","UP"
"","",23,"282531","AGRA","INDIA","UTTAR PRADESH","UP"
"","",24,"283001","AGRA","INDIA","UTTAR PRADESH","UP"
"","",25,"288201","AGRA","INDIA","UTTAR PRADESH","UP"
"","",26,"282431","AGRA","INDIA","UTTAR PRADESH","UP"
"","",27,"288114","AGRA","INDIA","UTTAR PRADESH","UP"
"","",28,"282007","AGRA","INDIA","UTTAR PRADESH","UP"
"","",29,"282003","AGRA","INDIA","UTTAR PRADESH","UP"
"","",30,"282004","AGRA","INDIA","UTTAR PRADESH","UP"
"","",31,"282005","AGRA","INDIA","UTTAR PRADESH","UP"
"","",32,"282006","AGRA","INDIA","UTTAR PRADESH","UP"
"","",33,"282008","AGRA","INDIA","UTTAR PRADESH","UP"
"","",34,"282009","AGRA","INDIA","UTTAR PRADESH","UP"
"","",35,"282010","AGRA","INDIA","UTTAR PRADESH","UP"
"","",36,"283101","AGRA","INDIA","UTTAR PRADESH","UP"
"","",37,"283102","AGRA","INDIA","UTTAR PRADESH","UP"
"","",38,"283104","AGRA","INDIA","UTTAR PRADESH","UP"
"","",39,"283105","AGRA","INDIA","UTTAR PRADESH","UP"
"","",40,"283110","AGRA","INDIA","UTTAR PRADESH","UP"
"","",41,"283111","AGRA","INDIA","UTTAR PRADESH","UP"
"","",42,"283112","AGRA","INDIA","UTTAR PRADESH","UP"
"","",43,"283113","AGRA","INDIA","UTTAR PRADESH","UP"
"","",44,"283114","AGRA","INDIA","UTTAR PRADESH","UP"
"","",45,"283115","AGRA","INDIA","UTTAR PRADESH","UP"
"","",46,"283119","AGRA","INDIA","UTTAR PRADESH","UP"
"","",47,"283121","AGRA","INDIA","UTTAR PRADESH","UP"
"","",48,"283122","AGRA","INDIA","UTTAR PRADESH","UP"
"","",49,"283123","AGRA","INDIA","UTTAR PRADESH","UP"
"","",50,"283124","AGRA","INDIA","UTTAR PRADESH","UP"
"","",51,"283125","AGRA","INDIA","UTTAR PRADESH","UP"
"","",52,"283126","AGRA","INDIA","UTTAR PRADESH","UP"
"","",53,"283201","AGRA","INDIA","UTTAR PRADESH","UP"
"","",54,"283202","AGRA","INDIA","UTTAR PRADESH","UP"
"","",55,"282001","AGRA","INDIA","UTTAR PRADESH","UP"
"","",56,"282002","AGRA","INDIA","UTTAR PRADESH","UP"
"","",57,"380010","AHMADABAD","INDIA","GUJARAT","GJ"
"","",58,"380053","AHMADABAD","INDIA","GUJARAT","GJ"
"","",59,"382451","AHMADABAD","INDIA","GUJARAT","GJ"
"","",60,"380012","AHMADABAD","INDIA","GUJARAT","GJ"
"","",61,"380056","AHMADABAD","INDIA","GUJARAT","GJ"
"","",62,"382151","AHMADABAD","INDIA","GUJARAT","GJ"
"","",63,"382276","AHMADABAD","INDIA","GUJARAT","GJ"
"","",64,"382325","AHMADABAD","INDIA","GUJARAT","GJ"
"","",65,"382346","AHMADABAD","INDIA","GUJARAT","GJ"
"","",66,"382410","AHMADABAD","INDIA","GUJARAT","GJ"
"","",67,"363610","AHMADABAD","INDIA","GUJARAT","GJ"
"","",68,"380017","AHMADABAD","INDIA","GUJARAT","GJ"
"","",69,"380025","AHMADABAD","INDIA","GUJARAT","GJ"
"","",70,"382352","AHMADABAD","INDIA","GUJARAT","GJ"
"","",71,"387810","AHMADABAD","INDIA","GUJARAT","GJ"
"","",72,"428601","AHMADNAGAR","INDIA","MAHARASHTRA","MH"
"","",73,"412310","AHMADNAGAR","INDIA","MAHARASHTRA","MH"
"","",74,"413731","AHMADNAGAR","INDIA","MAHARASHTRA","MH"
"","",75,"414090","AHMADNAGAR","INDIA","MAHARASHTRA","MH"
"","",76,"414108","AHMADNAGAR","INDIA","MAHARASHTRA","MH"
"","",77,"414200","AHMADNAGAR","INDIA","MAHARASHTRA","MH"
"","",78,"414307","AHMADNAGAR","INDIA","MAHARASHTRA","MH"
"","",79,"414506","AHMADNAGAR","INDIA","MAHARASHTRA","MH"
"","",80,"414804","AHMADNAGAR","INDIA","MAHARASHTRA","MH"
"","",81,"422560","AHMADNAGAR","INDIA","MAHARASHTRA","MH"
